Time,BIS/BIS
0.737,0.0
1.737,0.0
2.737,0.0
3.737,0.0
4.737,0.0
5.737,0.0
6.737,0.0
7.737,0.0
8.737,0.0
9.737,0.0
10.737,0.0
11.737,0.0
12.737,0.0
13.737,0.0
14.737,0.0
15.737,0.0
16.737,94.5
17.737,93.9
18.737,94.0
19.737,94.3
20.737,94.4
21.737,93.5
22.737,93.3
23.737,93.0
24.737,94.8
25.737,94.7
26.737,93.4
27.737,92.7
28.737,92.9
29.737,92.9
30.737,92.9
31.737,93.5
32.737,93.5
33.737,94.9
34.737,96.4
35.737,96.0
36.737,95.7
37.737,95.2
38.737,96.7
39.737,95.7
40.737,96.5
41.737,96.4
42.737,96.7
43.737,96.6
44.737,96.5
45.737,95.4
46.737,95.3
47.737,95.6
48.737,95.8
49.737,96.1
50.737,94.5
51.737,92.3
52.737,93.6
53.737,93.6
54.737,93.2
55.737,91.9
56.737,92.2
57.737,92.4
58.737,92.7
59.737,93.0
60.737,93.2
61.737,92.0
62.737,92.3
63.737,91.8
64.737,92.1
65.737,92.3
66.737,92.6
67.737,92.8
68.737,90.4
69.737,88.1
70.737,88.3
71.737,88.6
72.737,88.9
73.737,89.1
74.737,89.4
75.737,89.6
76.737,89.9
77.737,90.1
78.737,90.3
79.737,90.2
80.737,90.8
81.737,91.0
82.737,90.6
83.737,90.6
84.737,90.6
85.737,90.6
86.737,90.6
87.737,90.0
88.737,90.5
89.737,90.6
90.737,90.6
91.737,89.4
92.737,89.4
93.737,89.4
94.737,89.4
95.737,89.4
96.737,89.4
97.737,89.4
98.737,89.4
99.737,89.4
100.737,89.4
101.737,89.4
102.737,89.4
103.737,89.4
104.737,89.4
105.737,89.4
106.737,89.4
107.737,87.9
108.737,87.6
109.737,87.2
110.737,87.2
111.737,87.2
112.737,87.2
113.737,87.2
114.737,87.2
115.737,87.2
116.737,87.0
117.737,86.9
118.737,87.1
119.737,87.4
120.737,87.4
121.737,87.4
122.737,87.4
123.737,88.3
124.737,88.3
125.737,89.4
126.737,90.0
127.737,90.0
128.737,90.6
129.737,90.6
130.737,90.6
131.737,88.3
132.737,87.8
133.737,87.8
134.737,87.8
135.737,89.4
136.737,91.1
137.737,91.1
138.737,91.1
139.737,91.1
140.737,92.2
141.737,91.7
142.737,92.2
143.737,92.2
144.737,93.3
145.737,94.4
146.737,94.4
147.737,94.4
148.737,93.9
149.737,93.3
150.737,92.2
151.737,93.3
152.737,93.3
153.737,93.9
154.737,93.9
155.737,93.9
156.737,93.9
157.737,93.9
158.737,96.0
159.737,97.1
160.737,96.1
161.737,94.4
162.737,94.4
163.737,94.4
164.737,94.4
165.737,94.4
166.737,94.4
167.737,94.4
168.737,94.4
169.737,94.4
170.737,94.4
171.737,94.3
172.737,92.9
173.737,87.3
174.737,83.0
175.737,81.1
176.737,79.7
177.737,71.5
178.737,62.1
179.737,52.7
180.737,46.8
181.737,40.8
182.737,39.8
183.737,39.7
184.737,40.8
185.737,40.8
186.737,40.8
187.737,38.6
188.737,38.6
189.737,38.6
190.737,38.5
191.737,38.3
192.737,37.7
193.737,36.8
194.737,38.1
195.737,39.1
196.737,40.3
197.737,40.7
198.737,41.7
199.737,44.2
200.737,46.0
201.737,46.8
202.737,45.6
203.737,43.6
204.737,43.6
205.737,43.8
206.737,45.0
207.737,45.4
208.737,46.9
209.737,46.5
210.737,44.3
211.737,43.6
